wave	n	k
1965	1.631	3.04E-03
1970	1.631	3.04E-03
1975	1.631	3.04E-03
1980	1.631	3.03E-03
1985	1.631	2.99E-03
1990	1.631	2.96E-03
1995	1.630	2.89E-03
2000	1.630	2.79E-03
2005	1.630	2.68E-03
2010	1.630	2.63E-03
2015	1.630	2.61E-03
2020	1.630	2.53E-03
2025	1.630	2.37E-03
2030	1.630	2.14E-03
2035	1.630	1.97E-03
2040	1.630	1.86E-03
2045	1.629	1.75E-03
2050	1.629	1.63E-03
2055	1.629	1.49E-03
2060	1.628	1.35E-03
2065	1.628	1.25E-03
2070	1.628	1.14E-03
2075	1.627	1.04E-03
2080	1.627	8.67E-04
2085	1.626	7.53E-04
2090	1.625	6.85E-04
2095	1.625	5.90E-04
2100	1.625	8.97E-04
